timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rssi_watch,rssi_iphone
72443.0,-1.19,-0.63,-0.11,32.04,35.83,24.54,999.0,999.0
72464.0,-1.21,-0.58,0.12,14.65,44.8,52.25,999.0,999.0
72486.0,-1.08,-0.55,0.25,-21.3,69.89,79.28,999.0,999.0
72507.0,-1.07,-0.22,0.15,-27.53,95.64,106.63,999.0,999.0
72528.0,-1.06,0.23,0.27,10.31,108.64,134.22,999.0,999.0
72544.0,-1.16,0.23,0.16,13.61,98.14,143.25,999.0,999.0
72565.0,-1.26,-0.32,-0.07,55.11,73.79,139.59,999.0,999.0
72592.0,-1.2,-0.4,0.35,26.92,52.49,133.12,999.0,999.0
72612.0,-1.15,-0.25,0.38,-8.3,60.06,130.8,999.0,999.0
72629.0,-1.08,-0.12,0.29,-14.71,60.3,126.59,999.0,999.0
72650.0,-0.96,-0.09,0.2,-1.4,45.59,98.69,999.0,999.0
72667.0,-0.77,-0.44,0.13,-10.44,29.72,99.06,999.0,999.0
72693.0,-0.71,-0.35,0.16,-26.37,27.1,105.16,999.0,999.0
72709.0,-0.7,-0.35,0.16,-65.19,30.4,105.16,999.0,999.0
72730.0,-0.7,-0.25,0.21,-90.45,27.1,94.36,999.0,999.0
72748.0,-0.7,-0.22,0.16,-88.87,9.28,81.85,999.0,999.0
72765.0,-0.66,-0.13,0.07,-85.51,-5.49,65.12,999.0,999.0
72792.0,-0.59,-0.05,0.09,-52.19,-11.9,38.7,999.0,999.0
72809.0,-0.49,-0.07,0.14,-24.11,-20.69,9.28,999.0,999.0
72829.0,-0.43,-0.18,0.2,-16.24,-32.9,-17.46,999.0,999.0
72846.0,-0.39,-0.26,0.27,-28.56,-47.55,-44.62,999.0,999.0
72872.0,-0.42,-0.44,0.32,-51.39,-56.64,-70.68,999.0,999.0
72893.0,-0.56,-0.69,0.41,-71.29,-61.71,-80.99,999.0,999.0
72914.0,-0.75,-1.12,0.62,-85.94,-79.65,-70.19,999.0,999.0
72932.0,-0.9,-1.26,0.59,-64.03,-49.01,-12.33,999.0,999.0
72953.0,-0.99,-0.93,0.54,-22.22,-31.74,24.41,999.0,999.0
72979.0,-0.88,-0.72,0.64,-11.84,-30.27,45.65,999.0,999.0
73003.0,-0.77,-0.62,0.64,-5.0,-34.73,35.4,999.0,999.0
73022.0,-1.27,-0.62,0.41,85.88,-20.02,-17.21,999.0,999.0
73040.0,-1.73,-0.18,0.31,96.8,-5.31,-20.63,999.0,999.0
