timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,phone_rssi,watch_rssi
254986,0.3,0.09,0.95,0.18,-0.18,0.0,406.0,-769.0,395.0,-62.0,-82.0
255025,0.3,0.09,0.95,0.06,0.37,0.06,403.0,-770.0,398.0,-62.0,-82.0
255058,0.31,0.09,0.95,0.06,0.43,0.12,403.0,-770.0,398.0,-62.0,-82.0
255092,0.31,0.09,0.95,0.12,0.06,0.06,406.0,-769.0,395.0,-62.0,-82.0
255128,0.31,0.09,0.95,0.18,-0.06,0.12,406.0,-769.0,395.0,-62.0,-82.0
255157,0.3,0.09,0.95,0.24,0.24,0.12,406.0,-769.0,395.0,-62.0,-82.0
255192,0.31,0.09,0.95,0.18,0.24,0.06,403.0,-769.0,400.0,-62.0,-82.0
255224,0.31,0.09,0.95,0.12,0.18,-0.06,403.0,-769.0,400.0,-62.0,-82.0
255254,0.31,0.09,0.95,0.0,0.31,0.06,403.0,-769.0,400.0,-62.0,-81.0
255290,0.31,0.09,0.95,0.12,0.12,0.0,406.0,-768.0,399.0,-62.0,-81.0
255320,0.3,0.09,0.95,0.18,-0.12,0.06,406.0,-768.0,399.0,-69.0,-81.0
255342,0.3,0.09,0.95,0.06,-0.06,0.06,406.0,-768.0,399.0,-69.0,-81.0
255375,0.31,0.09,0.95,0.06,0.31,0.18,406.0,-768.0,399.0,-69.0,-81.0
255414,0.31,0.09,0.95,-0.12,0.43,0.18,402.0,-769.0,395.0,-69.0,-81.0
255446,0.31,0.09,0.95,0.06,0.06,0.0,402.0,-769.0,395.0,-69.0,-81.0
255477,0.31,0.09,0.95,0.37,-0.24,0.12,402.0,-769.0,395.0,-69.0,-81.0
255512,0.3,0.09,0.95,0.31,0.0,0.06,406.0,-768.0,397.0,-69.0,-81.0
255542,0.3,0.09,0.95,0.0,0.24,0.0,406.0,-768.0,397.0,-69.0,-81.0
255573,0.31,0.09,0.95,0.18,0.31,0.12,406.0,-768.0,397.0,-69.0,-81.0
255602,0.31,0.09,0.95,0.18,0.12,0.06,406.0,-768.0,393.0,-69.0,-81.0
255629,0.31,0.09,0.95,0.12,-0.06,0.06,406.0,-768.0,393.0,-69.0,-81.0
255664,0.3,0.09,0.95,0.31,0.06,0.06,406.0,-768.0,393.0,-69.0,-81.0
255693,0.3,0.09,0.95,0.37,0.06,0.06,404.0,-771.0,396.0,-69.0,-81.0
255724,0.31,0.09,0.95,-0.12,0.18,0.06,404.0,-771.0,396.0,-69.0,-81.0
255758,0.31,0.09,0.95,0.0,0.31,0.0,404.0,-771.0,396.0,-69.0,-81.0
255783,0.31,0.09,0.95,0.24,0.06,0.12,403.0,-769.0,399.0,-69.0,-81.0
255817,0.31,0.09,0.95,0.12,0.06,0.18,403.0,-769.0,399.0,-69.0,-81.0
255846,0.31,0.09,0.95,0.0,0.18,0.06,403.0,-769.0,399.0,-69.0,-81.0
255882,0.31,0.09,0.95,0.18,0.12,0.06,405.0,-768.0,398.0,-69.0,-81.0
255918,0.31,0.08,0.95,0.12,0.31,0.06,405.0,-768.0,398.0,-69.0,-81.0
255948,0.31,0.09,0.95,-0.24,0.24,0.0,405.0,-768.0,398.0,-69.0,-81.0
255981,0.31,0.09,0.95,0.06,-0.12,0.18,401.0,-769.0,401.0,-69.0,-80.0
256010,0.31,0.09,0.95,0.37,0.06,0.06,401.0,-769.0,401.0,-69.0,-80.0
256044,0.3,0.09,0.95,0.12,-0.06,0.12,401.0,-769.0,401.0,-69.0,-80.0
256074,0.31,0.09,0.95,0.0,0.43,0.12,405.0,-768.0,394.0,-69.0,-80.0
256110,0.31,0.09,0.95,0.12,0.31,0.06,405.0,-768.0,394.0,-69.0,-80.0
256136,0.31,0.09,0.95,0.12,-0.12,0.06,405.0,-768.0,394.0,-69.0,-80.0
256164,0.31,0.09,0.95,0.18,0.06,0.12,405.0,-768.0,394.0,-69.0,-80.0
256187,0.3,0.09,0.95,0.31,0.0,0.12,405.0,-769.0,394.0,-69.0,-80.0
256211,0.3,0.09,0.95,0.18,0.24,0.12,405.0,-769.0,394.0,-69.0,-80.0
256239,0.31,0.09,0.95,-0.12,0.31,0.12,405.0,-769.0,394.0,-69.0,-80.0
